"subject_no" "activity" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAccMag-mean()" "fBodyAccMag-std()"
2 "WALKING" -0.86692938 -0.70519112 -0.86692938 -0.70519112 -0.92976655 -0.89599425 -0.79554393 -0.76207322 -0.92519489 -0.89434361 -0.79094643 -0.711074
2 "WALKING" -0.96896136 -0.95390243 -0.96896136 -0.95390243 -0.97371675 -0.94100781 -0.89843314 -0.91085833 -0.97339341 -0.94409 -0.95412665 -0.95974581
2 "WALKING" -0.97622817 -0.97908345 -0.97622817 -0.97908345 -0.98161775 -0.97137104 -0.93919355 -0.97177627 -0.98674805 -0.98440146 -0.97564966 -0.98378426
2 "WALKING" -0.9743245 -0.97701589 -0.9743245 -0.97701589 -0.98271214 -0.97480746 -0.94718438 -0.97036824 -0.98882036 -0.9855681 -0.97339313 -0.98211956
2 "WALKING" -0.97583556 -0.97689339 -0.97583556 -0.97689339 -0.98690794 -0.98885394 -0.95741922 -0.96949953 -0.99006205 -0.99041891 -0.97773896 -0.9788381
2 "WALKING" -0.98171632 -0.97770393 -0.98171632 -0.97770393 -0.98733569 -0.99199699 -0.96974417 -0.97329472 -0.9878482 -0.98904283 -0.9780025 -0.97987556
2 "WALKING" -0.987652 -0.98527343 -0.987652 -0.98527343 -0.98932893 -0.99233376 -0.98233263 -0.98001093 -0.99111713 -0.99178348 -0.98419804 -0.98728087
2 "WALKING" -0.98693665 -0.99075599 -0.98693665 -0.99075599 -0.99314688 -0.99407416 -0.99274936 -0.99178744 -0.99557708 -0.99592397 -0.99134903 -0.9907674
2 "WALKING" -0.98844633 -0.9916242 -0.98844633 -0.9916242 -0.99389244 -0.99733962 -0.99373292 -0.99531712 -0.99734041 -0.99752463 -0.99355556 -0.9906142
2 "WALKING" -0.99135299 -0.99320918 -0.99135299 -0.99320918 -0.99393494 -0.99870789 -0.99146645 -0.99580913 -0.99612756 -0.99741842 -0.99369338 -0.99294329
2 "WALKING" -0.99200078 -0.99367767 -0.99200078 -0.99367767 -0.99248401 -0.99338931 -0.99262929 -0.99443845 -0.99501892 -0.99693534 -0.99370298 -0.99370311
2 "WALKING" -0.99317478 -0.99518342 -0.99317478 -0.99518342 -0.98917652 -0.99115044 -0.99425402 -0.9951991 -0.9954186 -0.99696993 -0.99400006 -0.99601109
