"subject" "activity" "domain" "motioncomponent" "instrument" "jerkind" "mean" "stddev"
1 "WALKING_UPSTAIRS" "t" "Body" "Acc" "Jerk" -0.574021004097179 -0.545989980899812
1 "WALKING_UPSTAIRS" "t" "Body" "Acc" NA -0.492214147385266 -0.531818239176489
1 "WALKING_UPSTAIRS" "t" "Body" "Gyro" "Jerk" -0.660039846322884 -0.668775141492163
1 "WALKING_UPSTAIRS" "t" "Body" "Gyro" NA -0.509087500201881 -0.525740915096552
1 "WALKING_UPSTAIRS" "t" "Gravity" "Acc" NA -0.492214147385266 -0.531818239176489
1 "WALKING_UPSTAIRS" "f" "Body" "Acc" NA -0.51451018417837 -0.618268506526646
1 "WALKING_DOWNSTAIRS" "t" "Body" "Acc" "Jerk" -0.219716752860714 -0.173363865521429
1 "WALKING_DOWNSTAIRS" "t" "Body" "Acc" NA -0.0140828025671429 -0.101515471785714
1 "WALKING_DOWNSTAIRS" "t" "Body" "Gyro" "Jerk" -0.405708505357143 -0.461512406071429
1 "WALKING_DOWNSTAIRS" "t" "Body" "Gyro" NA -0.0916624324642857 -0.204749539785714
1 "WALKING_DOWNSTAIRS" "t" "Gravity" "Acc" NA -0.0140828025671429 -0.101515471785714
1 "WALKING_DOWNSTAIRS" "f" "Body" "Acc" NA -0.06760317325 -0.264349880378571
2 "WALKING" "t" "Body" "Acc" "Jerk" -0.58777744543543 -0.512115278415232
2 "WALKING" "t" "Body" "Acc" NA -0.535281800541722 -0.552812545643709
2 "WALKING" "t" "Body" "Gyro" "Jerk" -0.746559539039735 -0.740088733655629
2 "WALKING" "t" "Body" "Gyro" NA -0.614771054893146 -0.680584887880795
2 "WALKING" "t" "Gravity" "Acc" NA -0.535281800541722 -0.552812545643709
2 "WALKING" "f" "Body" "Acc" NA -0.514569861316887 -0.646662308457285
3 "WALKING_DOWNSTAIRS" "t" "Body" "Acc" "Jerk" -0.650182434328446 -0.607658214170381
3 "WALKING_DOWNSTAIRS" "t" "Body" "Acc" NA -0.563140802770059 -0.591224780306452
3 "WALKING_DOWNSTAIRS" "t" "Body" "Gyro" "Jerk" -0.784056656246334 -0.80366136372434
3 "WALKING_DOWNSTAIRS" "t" "Body" "Gyro" NA -0.643150121648094 -0.674010290979472
3 "WALKING_DOWNSTAIRS" "t" "Gravity" "Acc" NA -0.563140802770059 -0.591224780306452
3 "WALKING_DOWNSTAIRS" "f" "Body" "Acc" NA -0.579076453758064 -0.663079838985044
4 "WALKING" "t" "Body" "Acc" "Jerk" -0.656116311856877 -0.647249966810726
4 "WALKING" "t" "Body" "Acc" NA -0.56158213510694 -0.606556049548896
4 "WALKING" "t" "Body" "Gyro" "Jerk" -0.819191368044164 -0.844187064164038
4 "WALKING" "t" "Body" "Gyro" NA -0.656291093847319 -0.706738493542587
4 "WALKING" "t" "Gravity" "Acc" NA -0.56158213510694 -0.606556049548896
4 "WALKING" "f" "Body" "Acc" NA -0.602098037677603 -0.672948341687697
5 "WALKING_DOWNSTAIRS" "t" "Body" "Acc" "Jerk" -0.589313870006622 -0.589031268133113
5 "WALKING_DOWNSTAIRS" "t" "Body" "Acc" NA -0.460866415568709 -0.52162345171192
5 "WALKING_DOWNSTAIRS" "t" "Body" "Gyro" "Jerk" -0.707383517582782 -0.734187493344371
5 "WALKING_DOWNSTAIRS" "t" "Body" "Gyro" NA -0.602770284825828 -0.664078383532781
5 "WALKING_DOWNSTAIRS" "t" "Gravity" "Acc" NA -0.460866415568709 -0.52162345171192
5 "WALKING_DOWNSTAIRS" "f" "Body" "Acc" NA -0.528503022745033 -0.594259529756954
6 "WALKING_DOWNSTAIRS" "t" "Body" "Acc" "Jerk" -0.551413652396923 -0.502935062310769
6 "WALKING_DOWNSTAIRS" "t" "Body" "Acc" NA -0.464770006998123 -0.483790606354154
6 "WALKING_DOWNSTAIRS" "t" "Body" "Gyro" "Jerk" -0.621936158532308 -0.644474485460492
6 "WALKING_DOWNSTAIRS" "t" "Body" "Gyro" NA -0.549494852037046 -0.579837818063692
6 "WALKING_DOWNSTAIRS" "t" "Gravity" "Acc" NA -0.464770006998123 -0.483790606354154
6 "WALKING_DOWNSTAIRS" "f" "Body" "Acc" NA -0.473974924380431 -0.570910289993846
7 "WALKING_DOWNSTAIRS" "t" "Body" "Acc" "Jerk" -0.622815767680292 -0.550560230585714
7 "WALKING_DOWNSTAIRS" "t" "Body" "Acc" NA -0.511312036747403 -0.510669879158539
7 "WALKING_DOWNSTAIRS" "t" "Body" "Gyro" "Jerk" -0.713191348337662 -0.658017844948377
7 "WALKING_DOWNSTAIRS" "t" "Body" "Gyro" NA -0.581899897967532 -0.598670795839286
7 "WALKING_DOWNSTAIRS" "t" "Gravity" "Acc" NA -0.511312036747403 -0.510669879158539
7 "WALKING_DOWNSTAIRS" "f" "Body" "Acc" NA -0.518323878824675 -0.583819796092208
8 "WALKING_DOWNSTAIRS" "t" "Body" "Acc" "Jerk" -0.693970947105882 -0.698126595419608
8 "WALKING_DOWNSTAIRS" "t" "Body" "Acc" NA -0.657841168134314 -0.687208716852941
8 "WALKING_DOWNSTAIRS" "t" "Body" "Gyro" "Jerk" -0.767707293078431 -0.802335816990196
8 "WALKING_DOWNSTAIRS" "t" "Body" "Gyro" NA -0.637885629840196 -0.698301555280392
8 "WALKING_DOWNSTAIRS" "t" "Gravity" "Acc" NA -0.657841168134314 -0.687208716852941
8 "WALKING_DOWNSTAIRS" "f" "Body" "Acc" NA -0.661265500205882 -0.753064279735294
8 "SITTING" "t" "Body" "Acc" "Jerk" -0.443233657336201 -0.488311280762011
8 "SITTING" "t" "Body" "Acc" NA -0.360642734297765 -0.478154547792179
